C14ID,Period,C14Age,C14SD,LabCode,PhaseCode,SiteID,Material,MaterialSpecies,RectID
1325,LN,4740,160,KN-3305,AAC1,S1003,NULL,NULL,1965
1326,MN,4740,70,Hv-813,DUMM1,S1757,wood,NULL,1693
1327,LN,4735,50,Bln-2041,BERN4,S1283,human bone,Homo sapiens,1838
1328,LN,4732,70,H-7441,OBRS1,S3164,charcoal,NULL,2254
1329,LN,4732,34,Hd-16863,RMKW1,S3476,bone,NULL,2254
1330,LN,4725,40,GrN-12554,ERGO,S1842,charcoal,NULL,2253
1331,MN,4710,90,Hv-349,DUMM1,S1757,wood,NULL,1693
1332,LN,4700,250,KI-2552,RMKW1,S3476,charcoal,NULL,2254
1333,NULL,4700,65,KI-921.01,BIS1,S1307,charcoal,NULL,1419
1334,EN,4700,60,KN-2426,SISU,S3769,wood,NULL,1492
1335,LN,4700,40,KIA-3103,STMN1,S3874,human bone,Homo sapiens,1838
1336,LN,4692,30,H-7410,RIKO1,S3471,charcoal,NULL,2253
1337,LN,4682,35,H-7440,OBRS1,S3164,charcoal,NULL,2254
1338,EN,4680,60,KN-1598,FUSU,S1966,NULL,NULL,1488
1339,LN,4668,53,KN-4778,CALB,S1431,charcoal,NULL,1902
1340,LN,4665,60,Bln-1354,WELU1,S4214,human bone,Homo sapiens,1907
1341,LN,4661,44,KN-4909,WALF1,S4183,bone,NULL,1908
1342,NULL,4660,95,Hv-17491,GRSE1,S2091,charcoal,NULL,1834
1343,LN,4653,46,KN-4504,WARB2,S4193,human bone,Homo sapiens,1902
1344,LN,4650,160,KN-3291,AAC1,S1003,NULL,NULL,1965
1345,LN,4642,100,H-210/271,ASP2,S1135,charcoal,NULL,1836
1346,LN,4640,52,KN-4863,CORM1,S1599,human bone,Homo sapiens,1838
1347,LN,4640,30,KIA-3104,STMN1,S3874,human bone,Homo sapiens,1838
1348,LN,4630,40,GrN-16049,ERGO,S1842,wood,Quercus sp.,2253
1349,LN,4627,49,KN-4661,CALB,S1431,animal bone,Bos sp.,1902
1350,LN,4620,70,GrN-16050,ERGO,S1842,human bone,Homo sapiens,2253
1351,LN,4616,46,Hd-19368,MADG,S2896,bone,NULL,1769
1352,LN,4615,30,GrN-14424,ERGO,S1842,wood,Betula sp.,2253
1353,NULL,4610,120,KI-1231,BIS1,S1307,charcoal,NULL,1419
1354,EN,4610,55,KN-2480,SISU,S3769,wood,NULL,1492
1355,LN,4610,50,GrN-23311,KOTH4,S2429,bone,NULL,1838
1356,NULL,4610,50,GrN-8009,NULL,S4227,charcoal,NULL,2038
1357,LN,4605,32,Hd-17072,CALD1,S1429,human bone,Homo sapiens,1902
1358,LN,4600,118,KN-5017,PEIS1,S3273,bone,NULL,1839
1359,EN,4600,60,KN-2403,SISU,S3769,wood,NULL,1492
1360,LN,4600,46,KN-4598,WARB4,S4195,human bone,Homo sapiens,1902
1361,LN,4595,25,Hd-19171,HELF1,S2222,bone,NULL,1838
1362,EN,4590,45,KN-2404,SISU,S3769,wood,NULL,1492
1363,LN,4586,60,Bln-1353,WELU1,S4214,human bone,Homo sapiens,1907
1364,LN,4580,140,KN-2662,AAC1,S1003,charcoal,NULL,1965
1365,EN,4580,60,KN-2481,SISU,S3769,wood,NULL,1492
1366,LN,4575,265,Hv-19724,EINB2,S1801,charcoal,NULL,1834
1367,LN,4570,65,ETH-14168,WARB3,S4194,human bone,Homo sapiens,1902
1368,LN,4570,60,Bln-4209,DITF1,S1718,charcoal,NULL,1837
1369,EN,4570,40,KN-1640,FUSU,S1966,NULL,NULL,1488
1370,NULL,4565,140,Hv-17493,GRSE1,S2091,charcoal,NULL,1834
1371,LN,4564,60,KN-4864,KROP1,S2435,human bone,Homo sapiens,1837
1372,NULL,4564,26,KIA-6987,ODG1,S3169,charcoal,NULL,1834
1373,LN,4550,95,Hv-15342,ERGO,S1842,wood,NULL,2253
1374,LN,4550,90,Gd-10166,PEIS1,S3273,bone,NULL,1839
1375,NULL,4550,45,KI-3810,GROBT1,S2088,charcoal,Quercus sp.,2042
1376,NULL,4540,65,KN-4248,ODG1,S3169,charcoal,NULL,1834
1377,LN,4540,50,KIA-3800,ASP2,S1135,human bone,Homo sapiens,1836
1378,MN,4520,40,GrN-6348,KRL1,S2360,NULL,NULL,2036
1379,NULL,4520,35,GrN-9202,HEEK1,S2216,charcoal,NULL,1760
1380,LN,4516,26,Hd-17023,CALD2,S1430,human bone,Homo sapiens,1902
1381,LN,4510,57,Hd-17311,BBT,S1180,wood,NULL,2317
1382,LN,4510,30,GrN-12699,GALG,S2422,charcoal,NULL,2253
1383,LN,4500,80,GrN-14428,GALG,S2422,charcoal,NULL,2253
1384,LN,4500,70,UtC-3325,ALTF,S1074,animal bone,Canis familiaris,1902
1385,LN,4500,70,UtC-3326,ALTF,S1074,human bone,Homo sapiens,1902
1386,LN,4495,115,Hv-19721,EINB2,S1801,charcoal,NULL,1834
